passengerCount,WIFIAPTag,slice10min
101.0,E1-1A-4<E1-1-04>,2016-09-14-16-1
102.3,E1-1A-4<E1-1-04>,2016-09-14-16-2
92.0,E1-1A-4<E1-1-04>,2016-09-14-16-3
104.7,E1-1A-4<E1-1-04>,2016-09-14-16-4
86.0,E1-1A-4<E1-1-04>,2016-09-14-16-5
64.3,E1-1A-4<E1-1-04>,2016-09-14-17-0
69.7,E1-1A-4<E1-1-04>,2016-09-14-17-1
88.7,E1-1A-4<E1-1-04>,2016-09-14-17-2
93.7,E1-1A-4<E1-1-04>,2016-09-14-17-3
115.7,E1-1A-4<E1-1-04>,2016-09-14-17-4
124.0,E1-1A-4<E1-1-04>,2016-09-14-17-5
14.7,E1-1A-5<E1-1-05>,2016-09-14-15-0
3.3,E1-1A-5<E1-1-05>,2016-09-14-15-1
10.3,E1-1A-5<E1-1-05>,2016-09-14-15-2
9.7,E1-1A-5<E1-1-05>,2016-09-14-15-3
6.0,E1-1A-5<E1-1-05>,2016-09-14-15-4
9.3,E1-1A-5<E1-1-05>,2016-09-14-15-5
13.7,E1-1A-5<E1-1-05>,2016-09-14-16-0
9.3,E1-1A-5<E1-1-05>,2016-09-14-16-1
35.3,E1-1A-5<E1-1-05>,2016-09-14-16-2
39.7,E1-1A-5<E1-1-05>,2016-09-14-16-3
5.3,E1-1A-5<E1-1-05>,2016-09-14-16-4
4.0,E1-1A-5<E1-1-05>,2016-09-14-16-5
3.3,E1-1A-5<E1-1-05>,2016-09-14-17-0
3.3,E1-1A-5<E1-1-05>,2016-09-14-17-1
1.7,E1-1A-5<E1-1-05>,2016-09-14-17-2
5.0,E1-1A-5<E1-1-05>,2016-09-14-17-3
7.0,E1-1A-5<E1-1-05>,2016-09-14-17-4
3.7,E1-1A-5<E1-1-05>,2016-09-14-17-5
63.0,E1-1A-6<E1-1-06>,2016-09-14-15-0
61.3,E1-1A-6<E1-1-06>,2016-09-14-15-1
58.0,E1-1A-6<E1-1-06>,2016-09-14-15-2
57.7,E1-1A-6<E1-1-06>,2016-09-14-15-3
71.0,E1-1A-6<E1-1-06>,2016-09-14-15-4
78.3,E1-1A-6<E1-1-06>,2016-09-14-15-5
67.3,E1-1A-6<E1-1-06>,2016-09-14-16-0
69.0,E1-1A-6<E1-1-06>,2016-09-14-16-1
66.3,E1-1A-6<E1-1-06>,2016-09-14-16-2
64.0,E1-1A-6<E1-1-06>,2016-09-14-16-3
63.0,E1-1A-6<E1-1-06>,2016-09-14-16-4
50.0,E1-1A-6<E1-1-06>,2016-09-14-16-5
54.3,E1-1A-6<E1-1-06>,2016-09-14-17-0
41.3,E1-1A-6<E1-1-06>,2016-09-14-17-1
40.3,E1-1A-6<E1-1-06>,2016-09-14-17-2
36.7,E1-1A-6<E1-1-06>,2016-09-14-17-3
32.7,E1-1A-6<E1-1-06>,2016-09-14-17-4
31.3,E1-1A-6<E1-1-06>,2016-09-14-17-5
9.0,E1-2A<E1-2-07>,2016-09-14-15-0
13.0,E1-2A<E1-2-07>,2016-09-14-15-1
13.3,E1-2A<E1-2-07>,2016-09-14-15-2
15.0,E1-2A<E1-2-07>,2016-09-14-15-3
6.7,E1-2A<E1-2-07>,2016-09-14-15-4
3.7,E1-2A<E1-2-07>,2016-09-14-15-5
4.0,E1-2A<E1-2-07>,2016-09-14-16-0
4.3,E1-2A<E1-2-07>,2016-09-14-16-1
5.3,E1-2A<E1-2-07>,2016-09-14-16-2
10.7,E1-2A<E1-2-07>,2016-09-14-16-3
10.0,E1-2A<E1-2-07>,2016-09-14-16-4
9.3,E1-2A<E1-2-07>,2016-09-14-16-5
9.3,E1-2A<E1-2-07>,2016-09-14-17-0
8.3,E1-2A<E1-2-07>,2016-09-14-17-1
5.3,E1-2A<E1-2-07>,2016-09-14-17-2
7.0,E1-2A<E1-2-07>,2016-09-14-17-3
1.3,E1-2A<E1-2-07>,2016-09-14-17-4
2.7,E1-2A<E1-2-07>,2016-09-14-17-5
24.7,E1-2A<E1-2-09>,2016-09-14-15-0
29.0,E1-2A<E1-2-09>,2016-09-14-15-1
31.3,E1-2A<E1-2-09>,2016-09-14-15-2
26.0,E1-2A<E1-2-09>,2016-09-14-15-3
23.7,E1-2A<E1-2-09>,2016-09-14-15-4
20.3,E1-2A<E1-2-09>,2016-09-14-15-5
22.7,E1-2A<E1-2-09>,2016-09-14-16-0
28.3,E1-2A<E1-2-09>,2016-09-14-16-1
27.7,E1-2A<E1-2-09>,2016-09-14-16-2
16.3,E1-2A<E1-2-09>,2016-09-14-16-3
31.7,E1-2A<E1-2-09>,2016-09-14-16-4
46.3,E1-2A<E1-2-09>,2016-09-14-16-5
30.0,E1-2A<E1-2-09>,2016-09-14-17-0
48.7,E1-2A<E1-2-09>,2016-09-14-17-1
30.3,E1-2A<E1-2-09>,2016-09-14-17-2
43.3,E1-2A<E1-2-09>,2016-09-14-17-3
25.7,E1-2A<E1-2-09>,2016-09-14-17-4
14.0,E1-2A<E1-2-09>,2016-09-14-17-5
20.3,E1-2A<E1-2-10>,2016-09-14-15-0
32.3,E1-2A<E1-2-10>,2016-09-14-15-1
32.0,E1-2A<E1-2-10>,2016-09-14-15-2
22.3,E1-2A<E1-2-10>,2016-09-14-15-3
22.3,E1-2A<E1-2-10>,2016-09-14-15-4
46.0,E1-2A<E1-2-10>,2016-09-14-15-5
78.3,E1-2A<E1-2-10>,2016-09-14-16-0
64.0,E1-2A<E1-2-10>,2016-09-14-16-1
44.7,E1-2A<E1-2-10>,2016-09-14-16-2
50.3,E1-2A<E1-2-10>,2016-09-14-16-3
26.7,E1-2A<E1-2-10>,2016-09-14-16-4
31.7,E1-2A<E1-2-10>,2016-09-14-16-5
64.7,E1-2A<E1-2-10>,2016-09-14-17-0
62.3,E1-2A<E1-2-10>,2016-09-14-17-1
36.0,E1-2A<E1-2-10>,2016-09-14-17-2
34.7,E1-2A<E1-2-10>,2016-09-14-17-3
29.7,E1-2A<E1-2-10>,2016-09-14-17-4
39.0,E1-2A<E1-2-10>,2016-09-14-17-5
28.0,E1-2A<E1-2-11>,2016-09-14-15-0
39.7,E1-2A<E1-2-11>,2016-09-14-15-1
47.7,E1-2A<E1-2-11>,2016-09-14-15-2
35.3,E1-2A<E1-2-11>,2016-09-14-15-3
38.0,E1-2A<E1-2-11>,2016-09-14-15-4
41.3,E1-2A<E1-2-11>,2016-09-14-15-5
40.0,E1-2A<E1-2-11>,2016-09-14-16-0
36.7,E1-2A<E1-2-11>,2016-09-14-16-1
41.3,E1-2A<E1-2-11>,2016-09-14-16-2
42.3,E1-2A<E1-2-11>,2016-09-14-16-3
49.0,E1-2A<E1-2-11>,2016-09-14-16-4
52.0,E1-2A<E1-2-11>,2016-09-14-16-5
52.7,E1-2A<E1-2-11>,2016-09-14-17-0
36.3,E1-2A<E1-2-11>,2016-09-14-17-1
42.3,E1-2A<E1-2-11>,2016-09-14-17-2
31.3,E1-2A<E1-2-11>,2016-09-14-17-3
41.0,E1-2A<E1-2-11>,2016-09-14-17-4
30.0,E1-2A<E1-2-11>,2016-09-14-17-5
13.3,E1-2A<E1-2A-02>,2016-09-14-15-0
17.7,E1-2A<E1-2A-02>,2016-09-14-15-1
12.7,E1-2A<E1-2A-02>,2016-09-14-15-2
2.7,E1-2A<E1-2A-02>,2016-09-14-15-3
0.7,E1-2A<E1-2A-02>,2016-09-14-15-4
5.3,E1-2A<E1-2A-02>,2016-09-14-15-5
8.0,E1-2A<E1-2A-02>,2016-09-14-16-0
5.0,E1-2A<E1-2A-02>,2016-09-14-16-1
8.3,E1-2A<E1-2A-02>,2016-09-14-16-2
8.0,E1-2A<E1-2A-02>,2016-09-14-16-3
7.7,E1-2A<E1-2A-02>,2016-09-14-16-4
8.3,E1-2A<E1-2A-02>,2016-09-14-16-5
11.0,E1-2A<E1-2A-02>,2016-09-14-17-0
11.7,E1-2A<E1-2A-02>,2016-09-14-17-1
12.0,E1-2A<E1-2A-02>,2016-09-14-17-2
15.7,E1-2A<E1-2A-02>,2016-09-14-17-3
6.0,E1-2A<E1-2A-02>,2016-09-14-17-4
7.7,E1-2A<E1-2A-02>,2016-09-14-17-5
10.0,E1-2A<E1-2A-06>,2016-09-14-15-0
15.7,E1-2A<E1-2A-06>,2016-09-14-15-1
6.7,E1-2A<E1-2A-06>,2016-09-14-15-2
8.0,E1-2A<E1-2A-06>,2016-09-14-15-3
9.7,E1-2A<E1-2A-06>,2016-09-14-15-4
12.7,E1-2A<E1-2A-06>,2016-09-14-15-5
7.7,E1-2A<E1-2A-06>,2016-09-14-16-0
5.7,E1-2A<E1-2A-06>,2016-09-14-16-1
7.3,E1-2A<E1-2A-06>,2016-09-14-16-2
8.7,E1-2A<E1-2A-06>,2016-09-14-16-3
9.0,E1-2A<E1-2A-06>,2016-09-14-16-4
12.3,E1-2A<E1-2A-06>,2016-09-14-16-5
14.0,E1-2A<E1-2A-06>,2016-09-14-17-0
15.3,E1-2A<E1-2A-06>,2016-09-14-17-1
14.0,E1-2A<E1-2A-06>,2016-09-14-17-2
7.0,E1-2A<E1-2A-06>,2016-09-14-17-3
7.0,E1-2A<E1-2A-06>,2016-09-14-17-4
1.7,E1-2A<E1-2A-06>,2016-09-14-17-5
28.3,E1-2B<E1-2-04>,2016-09-14-15-0
29.3,E1-2B<E1-2-04>,2016-09-14-15-1
27.3,E1-2B<E1-2-04>,2016-09-14-15-2
23.0,E1-2B<E1-2-04>,2016-09-14-15-3
18.3,E1-2B<E1-2-04>,2016-09-14-15-4
19.7,E1-2B<E1-2-04>,2016-09-14-15-5
13.3,E1-2B<E1-2-04>,2016-09-14-16-0
13.7,E1-2B<E1-2-04>,2016-09-14-16-1
19.0,E1-2B<E1-2-04>,2016-09-14-16-2
15.7,E1-2B<E1-2-04>,2016-09-14-16-3
22.3,E1-2B<E1-2-04>,2016-09-14-16-4
19.3,E1-2B<E1-2-04>,2016-09-14-16-5
22.7,E1-2B<E1-2-04>,2016-09-14-17-0
19.7,E1-2B<E1-2-04>,2016-09-14-17-1
11.3,E1-2B<E1-2-04>,2016-09-14-17-2
10.3,E1-2B<E1-2-04>,2016-09-14-17-3
4.7,E1-2B<E1-2-04>,2016-09-14-17-4
2.7,E1-2B<E1-2-04>,2016-09-14-17-5
32.0,E1-2B<E1-2B-02>,2016-09-14-15-0
28.3,E1-2B<E1-2B-02>,2016-09-14-15-1
21.0,E1-2B<E1-2B-02>,2016-09-14-15-2
29.0,E1-2B<E1-2B-02>,2016-09-14-15-3
30.0,E1-2B<E1-2B-02>,2016-09-14-15-4
38.0,E1-2B<E1-2B-02>,2016-09-14-15-5
31.3,E1-2B<E1-2B-02>,2016-09-14-16-0
36.7,E1-2B<E1-2B-02>,2016-09-14-16-1
50.3,E1-2B<E1-2B-02>,2016-09-14-16-2
41.7,E1-2B<E1-2B-02>,2016-09-14-16-3
30.7,E1-2B<E1-2B-02>,2016-09-14-16-4
38.7,E1-2B<E1-2B-02>,2016-09-14-16-5
22.7,E1-2B<E1-2B-02>,2016-09-14-17-0
28.0,E1-2B<E1-2B-02>,2016-09-14-17-1
22.0,E1-2B<E1-2B-02>,2016-09-14-17-2
19.3,E1-2B<E1-2B-02>,2016-09-14-17-3
17.7,E1-2B<E1-2B-02>,2016-09-14-17-4
17.7,E1-2B<E1-2B-02>,2016-09-14-17-5
17.3,E1-2B<E1-2B-03>,2016-09-14-15-0
24.7,E1-2B<E1-2B-03>,2016-09-14-15-1
16.3,E1-2B<E1-2B-03>,2016-09-14-15-2
14.0,E1-2B<E1-2B-03>,2016-09-14-15-3
14.7,E1-2B<E1-2B-03>,2016-09-14-15-4
13.7,E1-2B<E1-2B-03>,2016-09-14-15-5
8.0,E1-2B<E1-2B-03>,2016-09-14-16-0
9.3,E1-2B<E1-2B-03>,2016-09-14-16-1
15.3,E1-2B<E1-2B-03>,2016-09-14-16-2
20.0,E1-2B<E1-2B-03>,2016-09-14-16-3
19.7,E1-2B<E1-2B-03>,2016-09-14-16-4
21.7,E1-2B<E1-2B-03>,2016-09-14-16-5
26.0,E1-2B<E1-2B-03>,2016-09-14-17-0
34.7,E1-2B<E1-2B-03>,2016-09-14-17-1
41.3,E1-2B<E1-2B-03>,2016-09-14-17-2
34.7,E1-2B<E1-2B-03>,2016-09-14-17-3
29.7,E1-2B<E1-2B-03>,2016-09-14-17-4
17.0,E1-2B<E1-2B-03>,2016-09-14-17-5
29.7,E1-2C<E1-2-02>,2016-09-14-15-0
46.3,E1-2C<E1-2-02>,2016-09-14-15-1
32.7,E1-2C<E1-2-02>,2016-09-14-15-2
52.0,E1-2C<E1-2-02>,2016-09-14-15-3
32.0,E1-2C<E1-2-02>,2016-09-14-15-4
24.0,E1-2C<E1-2-02>,2016-09-14-15-5
32.7,E1-2C<E1-2-02>,2016-09-14-16-0
38.7,E1-2C<E1-2-02>,2016-09-14-16-1
39.3,E1-2C<E1-2-02>,2016-09-14-16-2
42.7,E1-2C<E1-2-02>,2016-09-14-16-3
37.7,E1-2C<E1-2-02>,2016-09-14-16-4
37.0,E1-2C<E1-2-02>,2016-09-14-16-5
36.7,E1-2C<E1-2-02>,2016-09-14-17-0
27.7,E1-2C<E1-2-02>,2016-09-14-17-1
31.0,E1-2C<E1-2-02>,2016-09-14-17-2
36.3,E1-2C<E1-2-02>,2016-09-14-17-3
12.7,E1-2C<E1-2-02>,2016-09-14-17-4
19.7,E1-2C<E1-2-02>,2016-09-14-17-5
50.3,E1-2C<E1-2-03>,2016-09-14-15-0
55.7,E1-2C<E1-2-03>,2016-09-14-15-1
46.3,E1-2C<E1-2-03>,2016-09-14-15-2
65.3,E1-2C<E1-2-03>,2016-09-14-15-3
69.0,E1-2C<E1-2-03>,2016-09-14-15-4
65.7,E1-2C<E1-2-03>,2016-09-14-15-5
55.0,E1-2C<E1-2-03>,2016-09-14-16-0
66.3,E1-2C<E1-2-03>,2016-09-14-16-1
48.3,E1-2C<E1-2-03>,2016-09-14-16-2
53.0,E1-2C<E1-2-03>,2016-09-14-16-3
42.0,E1-2C<E1-2-03>,2016-09-14-16-4
25.7,E1-2C<E1-2-03>,2016-09-14-16-5
38.3,E1-2C<E1-2-03>,2016-09-14-17-0
53.0,E1-2C<E1-2-03>,2016-09-14-17-1
32.3,E1-2C<E1-2-03>,2016-09-14-17-2
25.3,E1-2C<E1-2-03>,2016-09-14-17-3
21.7,E1-2C<E1-2-03>,2016-09-14-17-4
25.0,E1-2C<E1-2-03>,2016-09-14-17-5
170.3,E1-2C<E1-2C-01>,2016-09-14-15-0
146.0,E1-2C<E1-2C-01>,2016-09-14-15-1
155.0,E1-2C<E1-2C-01>,2016-09-14-15-2
170.7,E1-2C<E1-2C-01>,2016-09-14-15-3
197.7,E1-2C<E1-2C-01>,2016-09-14-15-4
191.0,E1-2C<E1-2C-01>,2016-09-14-15-5
213.0,E1-2C<E1-2C-01>,2016-09-14-16-0
239.7,E1-2C<E1-2C-01>,2016-09-14-16-1
228.3,E1-2C<E1-2C-01>,2016-09-14-16-2
247.7,E1-2C<E1-2C-01>,2016-09-14-16-3
196.0,E1-2C<E1-2C-01>,2016-09-14-16-4
186.7,E1-2C<E1-2C-01>,2016-09-14-16-5
185.0,E1-2C<E1-2C-01>,2016-09-14-17-0
190.0,E1-2C<E1-2C-01>,2016-09-14-17-1
184.3,E1-2C<E1-2C-01>,2016-09-14-17-2
197.3,E1-2C<E1-2C-01>,2016-09-14-17-3
195.0,E1-2C<E1-2C-01>,2016-09-14-17-4
183.3,E1-2C<E1-2C-01>,2016-09-14-17-5
74.3,E1-3A<E1-3-01>,2016-09-14-15-0
69.3,E1-3A<E1-3-01>,2016-09-14-15-1
98.7,E1-3A<E1-3-01>,2016-09-14-15-2
93.3,E1-3A<E1-3-01>,2016-09-14-15-3
80.0,E1-3A<E1-3-01>,2016-09-14-15-4
94.0,E1-3A<E1-3-01>,2016-09-14-15-5
79.0,E1-3A<E1-3-01>,2016-09-14-16-0
61.0,E1-3A<E1-3-01>,2016-09-14-16-1
70.3,E1-3A<E1-3-01>,2016-09-14-16-2
84.7,E1-3A<E1-3-01>,2016-09-14-16-3
89.0,E1-3A<E1-3-01>,2016-09-14-16-4
77.7,E1-3A<E1-3-01>,2016-09-14-16-5
73.0,E1-3A<E1-3-01>,2016-09-14-17-0
70.0,E1-3A<E1-3-01>,2016-09-14-17-1
84.7,E1-3A<E1-3-01>,2016-09-14-17-2
76.3,E1-3A<E1-3-01>,2016-09-14-17-3
89.0,E1-3A<E1-3-01>,2016-09-14-17-4
99.0,E1-3A<E1-3-01>,2016-09-14-17-5
180.3,E1-3A<E1-3-02>,2016-09-14-15-0
146.7,E1-3A<E1-3-02>,2016-09-14-15-1
150.0,E1-3A<E1-3-02>,2016-09-14-15-2
139.3,E1-3A<E1-3-02>,2016-09-14-15-3
159.0,E1-3A<E1-3-02>,2016-09-14-15-4
141.3,E1-3A<E1-3-02>,2016-09-14-15-5
149.3,E1-3A<E1-3-02>,2016-09-14-16-0
146.3,E1-3A<E1-3-02>,2016-09-14-16-1
150.3,E1-3A<E1-3-02>,2016-09-14-16-2
165.3,E1-3A<E1-3-02>,2016-09-14-16-3
168.0,E1-3A<E1-3-02>,2016-09-14-16-4
152.0,E1-3A<E1-3-02>,2016-09-14-16-5
128.0,E1-3A<E1-3-02>,2016-09-14-17-0
140.0,E1-3A<E1-3-02>,2016-09-14-17-1
167.7,E1-3A<E1-3-02>,2016-09-14-17-2
153.3,E1-3A<E1-3-02>,2016-09-14-17-3
150.0,E1-3A<E1-3-02>,2016-09-14-17-4
166.7,E1-3A<E1-3-02>,2016-09-14-17-5
167.7,E1-3A<E1-3-03>,2016-09-14-15-0
145.0,E1-3A<E1-3-03>,2016-09-14-15-1
131.7,E1-3A<E1-3-03>,2016-09-14-15-2
128.3,E1-3A<E1-3-03>,2016-09-14-15-3
118.7,E1-3A<E1-3-03>,2016-09-14-15-4
125.0,E1-3A<E1-3-03>,2016-09-14-15-5
132.3,E1-3A<E1-3-03>,2016-09-14-16-0
127.7,E1-3A<E1-3-03>,2016-09-14-16-1
151.0,E1-3A<E1-3-03>,2016-09-14-16-2
176.0,E1-3A<E1-3-03>,2016-09-14-16-3
169.3,E1-3A<E1-3-03>,2016-09-14-16-4
145.7,E1-3A<E1-3-03>,2016-09-14-16-5
102.3,E1-3A<E1-3-03>,2016-09-14-17-0
109.3,E1-3A<E1-3-03>,2016-09-14-17-1
106.0,E1-3A<E1-3-03>,2016-09-14-17-2
119.7,E1-3A<E1-3-03>,2016-09-14-17-3
138.0,E1-3A<E1-3-03>,2016-09-14-17-4
139.0,E1-3A<E1-3-03>,2016-09-14-17-5
185.3,E1-3A<E1-3-04>,2016-09-14-15-0
122.0,E1-3A<E1-3-04>,2016-09-14-15-1
132.0,E1-3A<E1-3-04>,2016-09-14-15-2
144.7,E1-3A<E1-3-04>,2016-09-14-15-3
166.3,E1-3A<E1-3-04>,2016-09-14-15-4
188.3,E1-3A<E1-3-04>,2016-09-14-15-5
221.3,E1-3A<E1-3-04>,2016-09-14-16-0
217.0,E1-3A<E1-3-04>,2016-09-14-16-1
230.7,E1-3A<E1-3-04>,2016-09-14-16-2
245.7,E1-3A<E1-3-04>,2016-09-14-16-3
237.7,E1-3A<E1-3-04>,2016-09-14-16-4
163.7,E1-3A<E1-3-04>,2016-09-14-16-5
59.3,E1-3A<E1-3-04>,2016-09-14-17-0
62.3,E1-3A<E1-3-04>,2016-09-14-17-1
122.7,E1-3A<E1-3-04>,2016-09-14-17-2
155.7,E1-3A<E1-3-04>,2016-09-14-17-3
160.7,E1-3A<E1-3-04>,2016-09-14-17-4
169.7,E1-3A<E1-3-04>,2016-09-14-17-5
127.3,E1-3A<E1-3-05>,2016-09-14-15-0
130.0,E1-3A<E1-3-05>,2016-09-14-15-1
122.7,E1-3A<E1-3-05>,2016-09-14-15-2
119.0,E1-3A<E1-3-05>,2016-09-14-15-3
119.0,E1-3A<E1-3-05>,2016-09-14-15-4
137.3,E1-3A<E1-3-05>,2016-09-14-15-5
146.7,E1-3A<E1-3-05>,2016-09-14-16-0
128.7,E1-3A<E1-3-05>,2016-09-14-16-1
136.3,E1-3A<E1-3-05>,2016-09-14-16-2
140.3,E1-3A<E1-3-05>,2016-09-14-16-3
108.3,E1-3A<E1-3-05>,2016-09-14-16-4
87.0,E1-3A<E1-3-05>,2016-09-14-16-5
103.3,E1-3A<E1-3-05>,2016-09-14-17-0
94.7,E1-3A<E1-3-05>,2016-09-14-17-1
107.3,E1-3A<E1-3-05>,2016-09-14-17-2
100.3,E1-3A<E1-3-05>,2016-09-14-17-3
86.0,E1-3A<E1-3-05>,2016-09-14-17-4
82.3,E1-3A<E1-3-05>,2016-09-14-17-5
133.3,E1-3A<E1-3-06>,2016-09-14-15-0
148.0,E1-3A<E1-3-06>,2016-09-14-15-1
154.0,E1-3A<E1-3-06>,2016-09-14-15-2
161.3,E1-3A<E1-3-06>,2016-09-14-15-3
145.0,E1-3A<E1-3-06>,2016-09-14-15-4
113.0,E1-3A<E1-3-06>,2016-09-14-15-5
123.3,E1-3A<E1-3-06>,2016-09-14-16-0
119.7,E1-3A<E1-3-06>,2016-09-14-16-1
120.7,E1-3A<E1-3-06>,2016-09-14-16-2
86.0,E1-3A<E1-3-06>,2016-09-14-16-3
105.3,E1-3A<E1-3-06>,2016-09-14-16-4
136.3,E1-3A<E1-3-06>,2016-09-14-16-5
154.7,E1-3A<E1-3-06>,2016-09-14-17-0
131.7,E1-3A<E1-3-06>,2016-09-14-17-1
100.7,E1-3A<E1-3-06>,2016-09-14-17-2
78.0,E1-3A<E1-3-06>,2016-09-14-17-3
84.7,E1-3A<E1-3-06>,2016-09-14-17-4
82.7,E1-3A<E1-3-06>,2016-09-14-17-5
63.3,E1-3A<E1-3-07>,2016-09-14-15-0
70.0,E1-3A<E1-3-07>,2016-09-14-15-1
69.0,E1-3A<E1-3-07>,2016-09-14-15-2
82.3,E1-3A<E1-3-07>,2016-09-14-15-3
105.7,E1-3A<E1-3-07>,2016-09-14-15-4
66.7,E1-3A<E1-3-07>,2016-09-14-15-5
51.0,E1-3A<E1-3-07>,2016-09-14-16-0
55.0,E1-3A<E1-3-07>,2016-09-14-16-1
55.7,E1-3A<E1-3-07>,2016-09-14-16-2
36.0,E1-3A<E1-3-07>,2016-09-14-16-3
34.0,E1-3A<E1-3-07>,2016-09-14-16-4
41.3,E1-3A<E1-3-07>,2016-09-14-16-5
53.3,E1-3A<E1-3-07>,2016-09-14-17-0
54.0,E1-3A<E1-3-07>,2016-09-14-17-1
52.7,E1-3A<E1-3-07>,2016-09-14-17-2
31.0,E1-3A<E1-3-07>,2016-09-14-17-3
29.3,E1-3A<E1-3-07>,2016-09-14-17-4
17.0,E1-3A<E1-3-07>,2016-09-14-17-5
71.0,E1-3A<E1-3-08>,2016-09-14-15-0
80.3,E1-3A<E1-3-08>,2016-09-14-15-1
89.3,E1-3A<E1-3-08>,2016-09-14-15-2
101.0,E1-3A<E1-3-08>,2016-09-14-15-3
114.0,E1-3A<E1-3-08>,2016-09-14-15-4
94.3,E1-3A<E1-3-08>,2016-09-14-15-5
72.0,E1-3A<E1-3-08>,2016-09-14-16-0
70.7,E1-3A<E1-3-08>,2016-09-14-16-1
65.0,E1-3A<E1-3-08>,2016-09-14-16-2
55.7,E1-3A<E1-3-08>,2016-09-14-16-3
64.7,E1-3A<E1-3-08>,2016-09-14-16-4
55.7,E1-3A<E1-3-08>,2016-09-14-16-5
71.0,E1-3A<E1-3-08>,2016-09-14-17-0
79.3,E1-3A<E1-3-08>,2016-09-14-17-1
59.0,E1-3A<E1-3-08>,2016-09-14-17-2
41.3,E1-3A<E1-3-08>,2016-09-14-17-3
46.0,E1-3A<E1-3-08>,2016-09-14-17-4
44.0,E1-3A<E1-3-08>,2016-09-14-17-5
88.7,E1-3A<E1-3-09>,2016-09-14-15-0
92.3,E1-3A<E1-3-09>,2016-09-14-15-1
