passengerCount,WIFIAPTag,slice10min
8.6,E1-1A-2<E1-1-02>,2016-09-25-17-5
13.4,E1-1A-3<E1-1-03>,2016-09-25-15-0
13.6,E1-1A-3<E1-1-03>,2016-09-25-15-1
14.2,E1-1A-3<E1-1-03>,2016-09-25-15-2
15.1,E1-1A-3<E1-1-03>,2016-09-25-15-3
14.3,E1-1A-3<E1-1-03>,2016-09-25-15-4
14.3,E1-1A-3<E1-1-03>,2016-09-25-15-5
15.2,E1-1A-3<E1-1-03>,2016-09-25-16-0
16.1,E1-1A-3<E1-1-03>,2016-09-25-16-1
15.4,E1-1A-3<E1-1-03>,2016-09-25-16-2
13.9,E1-1A-3<E1-1-03>,2016-09-25-16-3
12.8,E1-1A-3<E1-1-03>,2016-09-25-16-4
12.0,E1-1A-3<E1-1-03>,2016-09-25-16-5
12.4,E1-1A-3<E1-1-03>,2016-09-25-17-0
12.5,E1-1A-3<E1-1-03>,2016-09-25-17-1
13.4,E1-1A-3<E1-1-03>,2016-09-25-17-2
13.9,E1-1A-3<E1-1-03>,2016-09-25-17-3
14.7,E1-1A-3<E1-1-03>,2016-09-25-17-4
15.5,E1-1A-3<E1-1-03>,2016-09-25-17-5
6.6,E1-1A-4<E1-1-04>,2016-09-25-15-0
6.8,E1-1A-4<E1-1-04>,2016-09-25-15-1
7.4,E1-1A-4<E1-1-04>,2016-09-25-15-2
7.7,E1-1A-4<E1-1-04>,2016-09-25-15-3
8.5,E1-1A-4<E1-1-04>,2016-09-25-15-4
9.4,E1-1A-4<E1-1-04>,2016-09-25-15-5
9.5,E1-1A-4<E1-1-04>,2016-09-25-16-0
9.5,E1-1A-4<E1-1-04>,2016-09-25-16-1
9.3,E1-1A-4<E1-1-04>,2016-09-25-16-2
8.3,E1-1A-4<E1-1-04>,2016-09-25-16-3
7.6,E1-1A-4<E1-1-04>,2016-09-25-16-4
7.4,E1-1A-4<E1-1-04>,2016-09-25-16-5
7.9,E1-1A-4<E1-1-04>,2016-09-25-17-0
7.5,E1-1A-4<E1-1-04>,2016-09-25-17-1
8.0,E1-1A-4<E1-1-04>,2016-09-25-17-2
8.7,E1-1A-4<E1-1-04>,2016-09-25-17-3
9.7,E1-1A-4<E1-1-04>,2016-09-25-17-4
9.8,E1-1A-4<E1-1-04>,2016-09-25-17-5
1.3,E1-1A-5<E1-1-05>,2016-09-25-15-0
1.2,E1-1A-5<E1-1-05>,2016-09-25-15-1
1.2,E1-1A-5<E1-1-05>,2016-09-25-15-2
1.2,E1-1A-5<E1-1-05>,2016-09-25-15-3
1.2,E1-1A-5<E1-1-05>,2016-09-25-15-4
1.3,E1-1A-5<E1-1-05>,2016-09-25-15-5
1.3,E1-1A-5<E1-1-05>,2016-09-25-16-0
1.5,E1-1A-5<E1-1-05>,2016-09-25-16-1
1.7,E1-1A-5<E1-1-05>,2016-09-25-16-2
1.5,E1-1A-5<E1-1-05>,2016-09-25-16-3
1.2,E1-1A-5<E1-1-05>,2016-09-25-16-4
1.3,E1-1A-5<E1-1-05>,2016-09-25-16-5
1.4,E1-1A-5<E1-1-05>,2016-09-25-17-0
1.3,E1-1A-5<E1-1-05>,2016-09-25-17-1
1.1,E1-1A-5<E1-1-05>,2016-09-25-17-2
1.1,E1-1A-5<E1-1-05>,2016-09-25-17-3
1.2,E1-1A-5<E1-1-05>,2016-09-25-17-4
1.2,E1-1A-5<E1-1-05>,2016-09-25-17-5
5.1,E1-1A-6<E1-1-06>,2016-09-25-15-0
5.0,E1-1A-6<E1-1-06>,2016-09-25-15-1
5.3,E1-1A-6<E1-1-06>,2016-09-25-15-2
5.6,E1-1A-6<E1-1-06>,2016-09-25-15-3
5.4,E1-1A-6<E1-1-06>,2016-09-25-15-4
5.3,E1-1A-6<E1-1-06>,2016-09-25-15-5
5.2,E1-1A-6<E1-1-06>,2016-09-25-16-0
6.0,E1-1A-6<E1-1-06>,2016-09-25-16-1
6.0,E1-1A-6<E1-1-06>,2016-09-25-16-2
5.7,E1-1A-6<E1-1-06>,2016-09-25-16-3
5.6,E1-1A-6<E1-1-06>,2016-09-25-16-4
5.4,E1-1A-6<E1-1-06>,2016-09-25-16-5
5.7,E1-1A-6<E1-1-06>,2016-09-25-17-0
5.6,E1-1A-6<E1-1-06>,2016-09-25-17-1
5.6,E1-1A-6<E1-1-06>,2016-09-25-17-2
5.8,E1-1A-6<E1-1-06>,2016-09-25-17-3
5.6,E1-1A-6<E1-1-06>,2016-09-25-17-4
5.5,E1-1A-6<E1-1-06>,2016-09-25-17-5
0.9,E1-2A<E1-2-07>,2016-09-25-15-0
0.9,E1-2A<E1-2-07>,2016-09-25-15-1
0.9,E1-2A<E1-2-07>,2016-09-25-15-2
0.6,E1-2A<E1-2-07>,2016-09-25-15-3
0.6,E1-2A<E1-2-07>,2016-09-25-15-4
0.6,E1-2A<E1-2-07>,2016-09-25-15-5
0.7,E1-2A<E1-2-07>,2016-09-25-16-0
0.6,E1-2A<E1-2-07>,2016-09-25-16-1
0.6,E1-2A<E1-2-07>,2016-09-25-16-2
0.7,E1-2A<E1-2-07>,2016-09-25-16-3
0.7,E1-2A<E1-2-07>,2016-09-25-16-4
0.7,E1-2A<E1-2-07>,2016-09-25-16-5
0.8,E1-2A<E1-2-07>,2016-09-25-17-0
0.7,E1-2A<E1-2-07>,2016-09-25-17-1
0.6,E1-2A<E1-2-07>,2016-09-25-17-2
0.8,E1-2A<E1-2-07>,2016-09-25-17-3
0.6,E1-2A<E1-2-07>,2016-09-25-17-4
0.6,E1-2A<E1-2-07>,2016-09-25-17-5
2.9,E1-2A<E1-2-09>,2016-09-25-15-0
2.5,E1-2A<E1-2-09>,2016-09-25-15-1
2.7,E1-2A<E1-2-09>,2016-09-25-15-2
2.5,E1-2A<E1-2-09>,2016-09-25-15-3
2.5,E1-2A<E1-2-09>,2016-09-25-15-4
2.8,E1-2A<E1-2-09>,2016-09-25-15-5
2.7,E1-2A<E1-2-09>,2016-09-25-16-0
3.0,E1-2A<E1-2-09>,2016-09-25-16-1
2.9,E1-2A<E1-2-09>,2016-09-25-16-2
2.8,E1-2A<E1-2-09>,2016-09-25-16-3
3.2,E1-2A<E1-2-09>,2016-09-25-16-4
3.2,E1-2A<E1-2-09>,2016-09-25-16-5
3.7,E1-2A<E1-2-09>,2016-09-25-17-0
4.1,E1-2A<E1-2-09>,2016-09-25-17-1
4.4,E1-2A<E1-2-09>,2016-09-25-17-2
5.1,E1-2A<E1-2-09>,2016-09-25-17-3
5.5,E1-2A<E1-2-09>,2016-09-25-17-4
5.7,E1-2A<E1-2-09>,2016-09-25-17-5
8.7,E1-2A<E1-2-10>,2016-09-25-15-0
9.2,E1-2A<E1-2-10>,2016-09-25-15-1
10.5,E1-2A<E1-2-10>,2016-09-25-15-2
10.8,E1-2A<E1-2-10>,2016-09-25-15-3
11.7,E1-2A<E1-2-10>,2016-09-25-15-4
13.0,E1-2A<E1-2-10>,2016-09-25-15-5
13.8,E1-2A<E1-2-10>,2016-09-25-16-0
13.6,E1-2A<E1-2-10>,2016-09-25-16-1
13.2,E1-2A<E1-2-10>,2016-09-25-16-2
12.1,E1-2A<E1-2-10>,2016-09-25-16-3
12.5,E1-2A<E1-2-10>,2016-09-25-16-4
12.6,E1-2A<E1-2-10>,2016-09-25-16-5
12.4,E1-2A<E1-2-10>,2016-09-25-17-0
11.8,E1-2A<E1-2-10>,2016-09-25-17-1
13.4,E1-2A<E1-2-10>,2016-09-25-17-2
14.6,E1-2A<E1-2-10>,2016-09-25-17-3
15.8,E1-2A<E1-2-10>,2016-09-25-17-4
15.6,E1-2A<E1-2-10>,2016-09-25-17-5
3.8,E1-2A<E1-2-11>,2016-09-25-15-0
4.2,E1-2A<E1-2-11>,2016-09-25-15-1
4.0,E1-2A<E1-2-11>,2016-09-25-15-2
3.6,E1-2A<E1-2-11>,2016-09-25-15-3
3.6,E1-2A<E1-2-11>,2016-09-25-15-4
3.7,E1-2A<E1-2-11>,2016-09-25-15-5
3.7,E1-2A<E1-2-11>,2016-09-25-16-0
3.7,E1-2A<E1-2-11>,2016-09-25-16-1
3.6,E1-2A<E1-2-11>,2016-09-25-16-2
3.7,E1-2A<E1-2-11>,2016-09-25-16-3
4.2,E1-2A<E1-2-11>,2016-09-25-16-4
4.1,E1-2A<E1-2-11>,2016-09-25-16-5
4.2,E1-2A<E1-2-11>,2016-09-25-17-0
4.2,E1-2A<E1-2-11>,2016-09-25-17-1
3.7,E1-2A<E1-2-11>,2016-09-25-17-2
3.8,E1-2A<E1-2-11>,2016-09-25-17-3
3.6,E1-2A<E1-2-11>,2016-09-25-17-4
3.3,E1-2A<E1-2-11>,2016-09-25-17-5
1.2,E1-2A<E1-2A-02>,2016-09-25-15-0
1.3,E1-2A<E1-2A-02>,2016-09-25-15-1
1.1,E1-2A<E1-2A-02>,2016-09-25-15-2
0.9,E1-2A<E1-2A-02>,2016-09-25-15-3
0.9,E1-2A<E1-2A-02>,2016-09-25-15-4
0.9,E1-2A<E1-2A-02>,2016-09-25-15-5
1.0,E1-2A<E1-2A-02>,2016-09-25-16-0
0.9,E1-2A<E1-2A-02>,2016-09-25-16-1
0.9,E1-2A<E1-2A-02>,2016-09-25-16-2
1.0,E1-2A<E1-2A-02>,2016-09-25-16-3
1.0,E1-2A<E1-2A-02>,2016-09-25-16-4
0.9,E1-2A<E1-2A-02>,2016-09-25-16-5
1.0,E1-2A<E1-2A-02>,2016-09-25-17-0
1.0,E1-2A<E1-2A-02>,2016-09-25-17-1
0.9,E1-2A<E1-2A-02>,2016-09-25-17-2
1.2,E1-2A<E1-2A-02>,2016-09-25-17-3
0.9,E1-2A<E1-2A-02>,2016-09-25-17-4
0.8,E1-2A<E1-2A-02>,2016-09-25-17-5
1.8,E1-2A<E1-2A-06>,2016-09-25-15-0
1.7,E1-2A<E1-2A-06>,2016-09-25-15-1
1.4,E1-2A<E1-2A-06>,2016-09-25-15-2
1.1,E1-2A<E1-2A-06>,2016-09-25-15-3
1.2,E1-2A<E1-2A-06>,2016-09-25-15-4
1.2,E1-2A<E1-2A-06>,2016-09-25-15-5
1.2,E1-2A<E1-2A-06>,2016-09-25-16-0
1.3,E1-2A<E1-2A-06>,2016-09-25-16-1
1.2,E1-2A<E1-2A-06>,2016-09-25-16-2
1.3,E1-2A<E1-2A-06>,2016-09-25-16-3
1.4,E1-2A<E1-2A-06>,2016-09-25-16-4
1.2,E1-2A<E1-2A-06>,2016-09-25-16-5
1.6,E1-2A<E1-2A-06>,2016-09-25-17-0
1.5,E1-2A<E1-2A-06>,2016-09-25-17-1
1.3,E1-2A<E1-2A-06>,2016-09-25-17-2
1.5,E1-2A<E1-2A-06>,2016-09-25-17-3
1.2,E1-2A<E1-2A-06>,2016-09-25-17-4
1.1,E1-2A<E1-2A-06>,2016-09-25-17-5
2.4,E1-2B<E1-2-04>,2016-09-25-15-0
2.5,E1-2B<E1-2-04>,2016-09-25-15-1
2.3,E1-2B<E1-2-04>,2016-09-25-15-2
2.4,E1-2B<E1-2-04>,2016-09-25-15-3
2.1,E1-2B<E1-2-04>,2016-09-25-15-4
1.9,E1-2B<E1-2-04>,2016-09-25-15-5
1.8,E1-2B<E1-2-04>,2016-09-25-16-0
1.7,E1-2B<E1-2-04>,2016-09-25-16-1
1.7,E1-2B<E1-2-04>,2016-09-25-16-2
2.0,E1-2B<E1-2-04>,2016-09-25-16-3
2.0,E1-2B<E1-2-04>,2016-09-25-16-4
2.0,E1-2B<E1-2-04>,2016-09-25-16-5
2.1,E1-2B<E1-2-04>,2016-09-25-17-0
1.8,E1-2B<E1-2-04>,2016-09-25-17-1
1.5,E1-2B<E1-2-04>,2016-09-25-17-2
1.7,E1-2B<E1-2-04>,2016-09-25-17-3
1.6,E1-2B<E1-2-04>,2016-09-25-17-4
1.7,E1-2B<E1-2-04>,2016-09-25-17-5
2.8,E1-2B<E1-2B-02>,2016-09-25-15-0
2.9,E1-2B<E1-2B-02>,2016-09-25-15-1
2.6,E1-2B<E1-2B-02>,2016-09-25-15-2
2.6,E1-2B<E1-2B-02>,2016-09-25-15-3
2.5,E1-2B<E1-2B-02>,2016-09-25-15-4
2.5,E1-2B<E1-2B-02>,2016-09-25-15-5
2.6,E1-2B<E1-2B-02>,2016-09-25-16-0
2.8,E1-2B<E1-2B-02>,2016-09-25-16-1
2.7,E1-2B<E1-2B-02>,2016-09-25-16-2
2.8,E1-2B<E1-2B-02>,2016-09-25-16-3
2.7,E1-2B<E1-2B-02>,2016-09-25-16-4
2.6,E1-2B<E1-2B-02>,2016-09-25-16-5
2.7,E1-2B<E1-2B-02>,2016-09-25-17-0
2.6,E1-2B<E1-2B-02>,2016-09-25-17-1
2.3,E1-2B<E1-2B-02>,2016-09-25-17-2
2.3,E1-2B<E1-2B-02>,2016-09-25-17-3
2.2,E1-2B<E1-2B-02>,2016-09-25-17-4
2.3,E1-2B<E1-2B-02>,2016-09-25-17-5
2.1,E1-2B<E1-2B-03>,2016-09-25-15-0
2.3,E1-2B<E1-2B-03>,2016-09-25-15-1
2.2,E1-2B<E1-2B-03>,2016-09-25-15-2
2.2,E1-2B<E1-2B-03>,2016-09-25-15-3
2.1,E1-2B<E1-2B-03>,2016-09-25-15-4
2.1,E1-2B<E1-2B-03>,2016-09-25-15-5
2.1,E1-2B<E1-2B-03>,2016-09-25-16-0
2.2,E1-2B<E1-2B-03>,2016-09-25-16-1
2.3,E1-2B<E1-2B-03>,2016-09-25-16-2
2.5,E1-2B<E1-2B-03>,2016-09-25-16-3
3.0,E1-2B<E1-2B-03>,2016-09-25-16-4
2.8,E1-2B<E1-2B-03>,2016-09-25-16-5
3.1,E1-2B<E1-2B-03>,2016-09-25-17-0
3.1,E1-2B<E1-2B-03>,2016-09-25-17-1
2.8,E1-2B<E1-2B-03>,2016-09-25-17-2
2.7,E1-2B<E1-2B-03>,2016-09-25-17-3
2.6,E1-2B<E1-2B-03>,2016-09-25-17-4
2.4,E1-2B<E1-2B-03>,2016-09-25-17-5
5.0,E1-2C<E1-2-02>,2016-09-25-15-0
4.9,E1-2C<E1-2-02>,2016-09-25-15-1
5.0,E1-2C<E1-2-02>,2016-09-25-15-2
4.7,E1-2C<E1-2-02>,2016-09-25-15-3
4.3,E1-2C<E1-2-02>,2016-09-25-15-4
4.2,E1-2C<E1-2-02>,2016-09-25-15-5
4.1,E1-2C<E1-2-02>,2016-09-25-16-0
4.3,E1-2C<E1-2-02>,2016-09-25-16-1
4.8,E1-2C<E1-2-02>,2016-09-25-16-2
4.8,E1-2C<E1-2-02>,2016-09-25-16-3
4.8,E1-2C<E1-2-02>,2016-09-25-16-4
4.3,E1-2C<E1-2-02>,2016-09-25-16-5
4.2,E1-2C<E1-2-02>,2016-09-25-17-0
4.1,E1-2C<E1-2-02>,2016-09-25-17-1
4.0,E1-2C<E1-2-02>,2016-09-25-17-2
3.8,E1-2C<E1-2-02>,2016-09-25-17-3
4.0,E1-2C<E1-2-02>,2016-09-25-17-4
4.1,E1-2C<E1-2-02>,2016-09-25-17-5
4.0,E1-2C<E1-2-03>,2016-09-25-15-0
4.2,E1-2C<E1-2-03>,2016-09-25-15-1
4.3,E1-2C<E1-2-03>,2016-09-25-15-2
4.2,E1-2C<E1-2-03>,2016-09-25-15-3
4.5,E1-2C<E1-2-03>,2016-09-25-15-4
4.3,E1-2C<E1-2-03>,2016-09-25-15-5
4.2,E1-2C<E1-2-03>,2016-09-25-16-0
4.4,E1-2C<E1-2-03>,2016-09-25-16-1
4.2,E1-2C<E1-2-03>,2016-09-25-16-2
4.3,E1-2C<E1-2-03>,2016-09-25-16-3
4.0,E1-2C<E1-2-03>,2016-09-25-16-4
3.6,E1-2C<E1-2-03>,2016-09-25-16-5
3.4,E1-2C<E1-2-03>,2016-09-25-17-0
3.2,E1-2C<E1-2-03>,2016-09-25-17-1
3.0,E1-2C<E1-2-03>,2016-09-25-17-2
3.1,E1-2C<E1-2-03>,2016-09-25-17-3
3.1,E1-2C<E1-2-03>,2016-09-25-17-4
2.9,E1-2C<E1-2-03>,2016-09-25-17-5
17.9,E1-2C<E1-2C-01>,2016-09-25-15-0
18.1,E1-2C<E1-2C-01>,2016-09-25-15-1
17.9,E1-2C<E1-2C-01>,2016-09-25-15-2
19.2,E1-2C<E1-2C-01>,2016-09-25-15-3
19.6,E1-2C<E1-2C-01>,2016-09-25-15-4
18.4,E1-2C<E1-2C-01>,2016-09-25-15-5
18.6,E1-2C<E1-2C-01>,2016-09-25-16-0
19.3,E1-2C<E1-2C-01>,2016-09-25-16-1
19.6,E1-2C<E1-2C-01>,2016-09-25-16-2
19.6,E1-2C<E1-2C-01>,2016-09-25-16-3
19.2,E1-2C<E1-2C-01>,2016-09-25-16-4
18.6,E1-2C<E1-2C-01>,2016-09-25-16-5
18.4,E1-2C<E1-2C-01>,2016-09-25-17-0
19.0,E1-2C<E1-2C-01>,2016-09-25-17-1
19.2,E1-2C<E1-2C-01>,2016-09-25-17-2
18.3,E1-2C<E1-2C-01>,2016-09-25-17-3
18.1,E1-2C<E1-2C-01>,2016-09-25-17-4
17.4,E1-2C<E1-2C-01>,2016-09-25-17-5
5.1,E1-3A<E1-3-01>,2016-09-25-15-0
4.6,E1-3A<E1-3-01>,2016-09-25-15-1
5.0,E1-3A<E1-3-01>,2016-09-25-15-2
4.8,E1-3A<E1-3-01>,2016-09-25-15-3
4.7,E1-3A<E1-3-01>,2016-09-25-15-4
5.2,E1-3A<E1-3-01>,2016-09-25-15-5
4.9,E1-3A<E1-3-01>,2016-09-25-16-0
4.6,E1-3A<E1-3-01>,2016-09-25-16-1
4.9,E1-3A<E1-3-01>,2016-09-25-16-2
4.7,E1-3A<E1-3-01>,2016-09-25-16-3
4.6,E1-3A<E1-3-01>,2016-09-25-16-4
4.4,E1-3A<E1-3-01>,2016-09-25-16-5
4.4,E1-3A<E1-3-01>,2016-09-25-17-0
4.4,E1-3A<E1-3-01>,2016-09-25-17-1
4.5,E1-3A<E1-3-01>,2016-09-25-17-2
4.4,E1-3A<E1-3-01>,2016-09-25-17-3
4.7,E1-3A<E1-3-01>,2016-09-25-17-4
4.8,E1-3A<E1-3-01>,2016-09-25-17-5
15.2,E1-3A<E1-3-02>,2016-09-25-15-0
14.3,E1-3A<E1-3-02>,2016-09-25-15-1
14.6,E1-3A<E1-3-02>,2016-09-25-15-2
14.3,E1-3A<E1-3-02>,2016-09-25-15-3
14.2,E1-3A<E1-3-02>,2016-09-25-15-4
14.4,E1-3A<E1-3-02>,2016-09-25-15-5
15.3,E1-3A<E1-3-02>,2016-09-25-16-0
15.5,E1-3A<E1-3-02>,2016-09-25-16-1
15.4,E1-3A<E1-3-02>,2016-09-25-16-2
14.6,E1-3A<E1-3-02>,2016-09-25-16-3
14.6,E1-3A<E1-3-02>,2016-09-25-16-4
14.6,E1-3A<E1-3-02>,2016-09-25-16-5
15.0,E1-3A<E1-3-02>,2016-09-25-17-0
14.9,E1-3A<E1-3-02>,2016-09-25-17-1
15.5,E1-3A<E1-3-02>,2016-09-25-17-2
15.9,E1-3A<E1-3-02>,2016-09-25-17-3
16.2,E1-3A<E1-3-02>,2016-09-25-17-4
16.6,E1-3A<E1-3-02>,2016-09-25-17-5
11.4,E1-3A<E1-3-03>,2016-09-25-15-0
11.6,E1-3A<E1-3-03>,2016-09-25-15-1
11.8,E1-3A<E1-3-03>,2016-09-25-15-2
11.4,E1-3A<E1-3-03>,2016-09-25-15-3
11.1,E1-3A<E1-3-03>,2016-09-25-15-4
10.7,E1-3A<E1-3-03>,2016-09-25-15-5
11.0,E1-3A<E1-3-03>,2016-09-25-16-0
10.9,E1-3A<E1-3-03>,2016-09-25-16-1
10.9,E1-3A<E1-3-03>,2016-09-25-16-2
10.4,E1-3A<E1-3-03>,2016-09-25-16-3
9.9,E1-3A<E1-3-03>,2016-09-25-16-4
9.5,E1-3A<E1-3-03>,2016-09-25-16-5
9.7,E1-3A<E1-3-03>,2016-09-25-17-0
10.2,E1-3A<E1-3-03>,2016-09-25-17-1
10.6,E1-3A<E1-3-03>,2016-09-25-17-2
10.7,E1-3A<E1-3-03>,2016-09-25-17-3
11.0,E1-3A<E1-3-03>,2016-09-25-17-4
11.5,E1-3A<E1-3-03>,2016-09-25-17-5
26.5,E1-3A<E1-3-04>,2016-09-25-15-0
26.9,E1-3A<E1-3-04>,2016-09-25-15-1
27.3,E1-3A<E1-3-04>,2016-09-25-15-2
28.2,E1-3A<E1-3-04>,2016-09-25-15-3
26.8,E1-3A<E1-3-04>,2016-09-25-15-4
26.5,E1-3A<E1-3-04>,2016-09-25-15-5
28.2,E1-3A<E1-3-04>,2016-09-25-16-0
29.6,E1-3A<E1-3-04>,2016-09-25-16-1
28.2,E1-3A<E1-3-04>,2016-09-25-16-2
25.7,E1-3A<E1-3-04>,2016-09-25-16-3
24.5,E1-3A<E1-3-04>,2016-09-25-16-4
23.1,E1-3A<E1-3-04>,2016-09-25-16-5
22.9,E1-3A<E1-3-04>,2016-09-25-17-0
22.6,E1-3A<E1-3-04>,2016-09-25-17-1
24.3,E1-3A<E1-3-04>,2016-09-25-17-2
24.8,E1-3A<E1-3-04>,2016-09-25-17-3
26.3,E1-3A<E1-3-04>,2016-09-25-17-4
26.8,E1-3A<E1-3-04>,2016-09-25-17-5
9.7,E1-3A<E1-3-05>,2016-09-25-15-0
9.8,E1-3A<E1-3-05>,2016-09-25-15-1
10.1,E1-3A<E1-3-05>,2016-09-25-15-2
10.1,E1-3A<E1-3-05>,2016-09-25-15-3
9.9,E1-3A<E1-3-05>,2016-09-25-15-4
9.1,E1-3A<E1-3-05>,2016-09-25-15-5
9.1,E1-3A<E1-3-05>,2016-09-25-16-0
9.0,E1-3A<E1-3-05>,2016-09-25-16-1
9.0,E1-3A<E1-3-05>,2016-09-25-16-2
8.6,E1-3A<E1-3-05>,2016-09-25-16-3
7.5,E1-3A<E1-3-05>,2016-09-25-16-4
7.1,E1-3A<E1-3-05>,2016-09-25-16-5
7.1,E1-3A<E1-3-05>,2016-09-25-17-0
7.7,E1-3A<E1-3-05>,2016-09-25-17-1
8.0,E1-3A<E1-3-05>,2016-09-25-17-2
8.0,E1-3A<E1-3-05>,2016-09-25-17-3
8.3,E1-3A<E1-3-05>,2016-09-25-17-4
8.0,E1-3A<E1-3-05>,2016-09-25-17-5
21.2,E1-3A<E1-3-06>,2016-09-25-15-0
21.5,E1-3A<E1-3-06>,2016-09-25-15-1
22.1,E1-3A<E1-3-06>,2016-09-25-15-2
21.9,E1-3A<E1-3-06>,2016-09-25-15-3
22.0,E1-3A<E1-3-06>,2016-09-25-15-4
21.2,E1-3A<E1-3-06>,2016-09-25-15-5
20.6,E1-3A<E1-3-06>,2016-09-25-16-0
20.2,E1-3A<E1-3-06>,2016-09-25-16-1
19.8,E1-3A<E1-3-06>,2016-09-25-16-2
19.1,E1-3A<E1-3-06>,2016-09-25-16-3
18.6,E1-3A<E1-3-06>,2016-09-25-16-4
17.8,E1-3A<E1-3-06>,2016-09-25-16-5
18.2,E1-3A<E1-3-06>,2016-09-25-17-0
18.3,E1-3A<E1-3-06>,2016-09-25-17-1
18.6,E1-3A<E1-3-06>,2016-09-25-17-2
18.6,E1-3A<E1-3-06>,2016-09-25-17-3
19.3,E1-3A<E1-3-06>,2016-09-25-17-4
20.3,E1-3A<E1-3-06>,2016-09-25-17-5
6.3,E1-3A<E1-3-07>,2016-09-25-15-0
6.0,E1-3A<E1-3-07>,2016-09-25-15-1
5.9,E1-3A<E1-3-07>,2016-09-25-15-2
6.1,E1-3A<E1-3-07>,2016-09-25-15-3
6.6,E1-3A<E1-3-07>,2016-09-25-15-4
6.6,E1-3A<E1-3-07>,2016-09-25-15-5
5.9,E1-3A<E1-3-07>,2016-09-25-16-0
5.6,E1-3A<E1-3-07>,2016-09-25-16-1
5.4,E1-3A<E1-3-07>,2016-09-25-16-2
5.1,E1-3A<E1-3-07>,2016-09-25-16-3
4.7,E1-3A<E1-3-07>,2016-09-25-16-4
4.2,E1-3A<E1-3-07>,2016-09-25-16-5
4.1,E1-3A<E1-3-07>,2016-09-25-17-0
3.9,E1-3A<E1-3-07>,2016-09-25-17-1
3.9,E1-3A<E1-3-07>,2016-09-25-17-2
4.0,E1-3A<E1-3-07>,2016-09-25-17-3
4.2,E1-3A<E1-3-07>,2016-09-25-17-4
4.1,E1-3A<E1-3-07>,2016-09-25-17-5
5.5,E1-3A<E1-3-08>,2016-09-25-15-0
5.4,E1-3A<E1-3-08>,2016-09-25-15-1
5.4,E1-3A<E1-3-08>,2016-09-25-15-2
5.5,E1-3A<E1-3-08>,2016-09-25-15-3
5.9,E1-3A<E1-3-08>,2016-09-25-15-4
6.2,E1-3A<E1-3-08>,2016-09-25-15-5
5.6,E1-3A<E1-3-08>,2016-09-25-16-0
5.4,E1-3A<E1-3-08>,2016-09-25-16-1
5.1,E1-3A<E1-3-08>,2016-09-25-16-2
5.0,E1-3A<E1-3-08>,2016-09-25-16-3
4.7,E1-3A<E1-3-08>,2016-09-25-16-4
4.3,E1-3A<E1-3-08>,2016-09-25-16-5
4.0,E1-3A<E1-3-08>,2016-09-25-17-0
3.8,E1-3A<E1-3-08>,2016-09-25-17-1
3.7,E1-3A<E1-3-08>,2016-09-25-17-2
4.0,E1-3A<E1-3-08>,2016-09-25-17-3
4.3,E1-3A<E1-3-08>,2016-09-25-17-4
4.4,E1-3A<E1-3-08>,2016-09-25-17-5
8.9,E1-3A<E1-3-09>,2016-09-25-15-0
8.6,E1-3A<E1-3-09>,2016-09-25-15-1
